id,full_name,ig_user,tw_user,country,sex,pol_orient,gobierno,rank,language
1,kamala_harris,kamalaharris,KamalaHarris,usa,f,center_left,gob,3,English
2,yamandu_orsi,orsi.yamandu,OrsiYamandu,ury,m,left,opo,1,Spanish
3,alvaro_delgado,alvarodelgadouy,AlvaroDelgadoUy,ury,m,center_right,gob,1,Spanish
4,andres_ojeda,andresojedaok,AndresOjedaOk,ury,m,center_right,gob,1,Spanish
5,patricia_bullrich,patobullrich,PatoBullrich,arg,f,right,gob,2,Spanish
6,juan_grabois,juangrabois,JuanGrabois,arg,m,left,opo,3,Spanish
7,cristina_fernandez_de_kirchner,cristinafkirchner,CFKArgentina,arg,f,left,opo,2,Spanish
8,leandro_santoro,leandrosantorook,SantoroLeandro,arg,m,center_left,opo,3,Spanish
9,axel_kicillof,kicillofok,Kicillofok,arg,m,left,opo,2,Spanish
10,martin_lousteau,gugalusto,GugaLusto,arg,m,center,opo,3,Spanish
11,victoria_villarruel,victoria.villarruel,VickyVillarruel,arg,f,right,gob,2,Spanish
12,javier_milei,javiermilei,JMilei,arg,m,right,gob,1,Spanish
13,manuel_adorni,madorni,madorni,arg,m,right,gob,2,Spanish
14,jose_luis_espert,joseluisespert,jlespert,arg,m,right,gob,3,Spanish
15,sergio_massa,sergiomassaok,SergioMassa,arg,m,center_left,opo,2,Spanish
16,gustavo_salle,salle.lorier,sallelorier,ury,m,center_left,opo,3,Spanish
17,luis_lacalle_pou,luislacallepou,LuisLacallePou,ury,m,center_right,gob,1,Spanish
18,mauricio_macri,mauriciomacri,mauriciomacri,arg,m,center_right,neu,1,Spanish
19,alberto_fernandez,alferdezok,alferdez,arg,m,center_left,opo,3,Spanish
